city,district,latitude,longitude
الدمام,ابن خلدون,26.420592,50.096559
الدمام,الأثير,26.435145,50.058752
الدمام,البادية,26.428308,50.089644
الدمام,البديع,26.451197,50.112524
الدمام,الجلوية,26.435673,50.074453
الدمام,الجوهرة,26.464481,50.08132
الدمام,الحمراء,26.471399,50.092353
الدمام,الخليج,26.445277,50.091987
الدمام,الدواسر,26.44576,50.101285
الدمام,الربيع,26.440386,50.113438
الدمام,السلام,26.451664,50.102353
الدمام,السوق,26.440385,50.102264
الدمام,الشاطئ الشرقي,26.473151,50.128757
الدمام,الشاطئ الغربي,26.474944,50.116993
الدمام,الطبيشي,26.435234,50.122639
الدمام,العدامة,26.432878,50.10457
الدمام,العنود,26.447888,50.070555
الدمام,الغدير,26.48823,50.051864
الدمام,القادسية,26.418225,50.071049
الدمام,القزاز,26.434762,50.092024
الدمام,المنار,26.368932,50.035517
الدمام,النخيل,26.438769,50.088295
الدمام,النهضة,26.377084,50.143618
الدمام,مدينة العمال,26.423089,50.10983
الدمام,الاتصالات,26.413327,50.084627
الدمام,البساتين,26.389616,50.12729
الدمام,الجامعيين,26.395001,50.100202
الدمام,الحسام,26.39233,50.172082
الدمام,الخالدية,26.40327,50.163573
الدمام,الروضة,26.403655,50.076707
الدمام,الريان,26.405394,50.096855
الدمام,السيف,26.384195,50.205359
الدمام,الشفاء,26.407375,50.1179
الدمام,الصدفة,26.374104,50.217237
الدمام,الصفا,26.38969,50.182001
الدمام,الفردوس,26.377437,50.116663
الدمام,الفنار,26.404985,50.195991
الدمام,المريكبات,26.411557,50.103841
الدمام,المزروعية,26.444289,50.121797
الدمام,المنتزه,26.376711,50.12871
الدمام,الناصرية,26.426676,50.119944
الدمام,النسيم,26.445684,50.161518
الدمام,النورس,26.411986,50.184691
الدمام,الواحة,26.382767,50.097581
الدمام,الراكة,26.36878,50.194287
الدمام,أحد,26.413333,50.04074
الدمام,الأمانة,26.385521,49.966681
الدمام,الأمل,26.343966,50.023453
الدمام,الضاحية,26.397493,50.068889
الدمام,الضباب,26.41676,50.059668
الدمام,العروبة,26.346686,49.993031
الدمام,الفرسان,26.356944,49.960959
الدمام,الفيحاء,26.438114,50.038534
الدمام,الفيصلية,26.393687,50.071403
الدمام,النور,26.429089,50.016673
الدمام,بدر,26.404401,50.023227
الدمام,طيبة,26.354668,50.047954
الدمام,البحيرة,26.470388,50.062786
الدمام,الخضرية,26.447952,50.047407
الدمام,الصناعية,26.451694,50.02191
الدمام,المحمدية,26.459617,50.055398
الدمام,الرابية,26.462907,50.03443
الدمام,الأنوار,26.366006,50.012477
الدمام,الحاكمية,26.339839,50.002171
الدمام,الرحاب,26.370355,50.122456
الدمام,الفاخرية,26.353771,50.07742
الدمام,الندى,26.373921,50.078501
الدمام,النزهة,26.398814,50.108216
الدمام,ضاحية الملك فهد,26.413589,50.001125
الدمام,عبدالله فؤاد,26.407375,50.1179
الدمام,غرناطة,26.424704,50.079476
الدمام,القرية الشعبية,26.491937,50.120613
الدمام,العمامرة,26.44337,50.112293
الدمام,الشعلة,26.35119,50.090743
الدمام,المطار,26.380508,49.944355
الخبر,إشبيلية,26.194927,50.215608
الخبر,ابن سينا,26.241669,50.198837
الخبر,الإسكان,26.256598,50.207744
الخبر,الأمواج,26.139912,50.14352
الخبر,الأندلس,26.32102,50.18589
الخبر,البحر,26.357881,50.226128
الخبر,البحيرة,26.189871,50.178971
الخبر,البستان,26.321954,50.212032
الخبر,البندرية,26.307382,50.213584
الخبر,التحلية,26.18751,50.195773
الخبر,التعاون,26.220721,50.184179
الخبر,الثقبة,26.27614,50.193713
الخبر,الجسر,26.210335,50.207989
الخبر,الجوهرة,26.329219,50.197089
الخبر,الحزام الأخضر,26.307899,50.20058
الخبر,الحزام الذهبي,26.317729,50.200866
الخبر,الحمراء,26.226649,50.203491
الخبر,الخبر الجنوبية,26.27472,50.205519
الخبر,الخبر الشمالية,26.291203,50.213649
الخبر,الخزامى,26.208713,50.188967
الخبر,الخور,26.229011,50.214034
الخبر,الراكة الجنوبية,26.352546,50.205622
الخبر,الراكة الشمالية,26.36878,50.194287
الخبر,الرجاء,26.171898,50.129539
الخبر,الروابي,26.331623,50.20989
الخبر,السفن,26.136723,50.160892
الخبر,السلام,26.217191,50.197138
الخبر,السليمانية,26.217191,50.197138
الخبر,الشراع,26.167021,50.145583
الخبر,الصدفة,26.374104,50.217237
الخبر,الصواري,26.188046,50.159337
الخبر,العزيزية,26.105855,50.149826
الخبر,العقربية,26.296872,50.193256
الخبر,العقيق,26.094855,50.144559
الخبر,العليا,26.298007,50.178626
الخبر,الكوثر,26.151557,50.121287
الخبر,الكورنيش,26.325653,50.221853
الخبر,اللؤلؤ,26.123207,50.142416
الخبر,المرجان,26.119543,50.116488
الخبر,المها,26.188735,50.130331
الخبر,الهدا,26.311209,50.182637
الخبر,اليرموك,26.311564,50.220446
الخبر,صناعية الثقبة,26.25419,50.19878
الخبر,صناعية الفوازية,26.245507,50.214019
الخبر,قرطبة,26.344212,50.186123
الخبر,مدينة العمال,26.294925,50.204145
الظهران,أجيال,26.264975,50.072819
الظهران,التهامة,26.353393,50.130467
الظهران,الجامعة,26.344217,50.132736
الظهران,الحرس الوطني,26.363782,50.164281
الظهران,الدانة الجنوبية,26.327659,50.149691
الظهران,الدانة الشمالية,26.337384,50.149276
الظهران,الدوحة الجنوبية,26.317434,50.16361
الظهران,الدوحة الشمالية,26.336069,50.167816
الظهران,الرابية,26.329186,50.130516
الظهران,السلمانية,26.312838,50.177935
الظهران,القشلة,26.365571,50.176405
الظهران,القصور,26.347338,50.150772
الظهران,الوسام,26.31935,50.066506
الظهران,تلال الظهران,26.292331,50.107346
الظهران,هجر,26.369252,50.121298
